Taxon_id,Official_name_NCBI
33033,Parvimonasmicra
33036,Anaerococcustetradius
33038,[Ruminococcus]gnavus
33039,[Ruminococcus]torques
33044,Bartonelladoshiae
33046,Bartonellataylorii
33050,Sphingopyxismacrogoltabida
33051,Sphingomonassanguinis
33053,Neisseriaperflava
33060,Yersiniamollaretii
33069,Pseudomonasviridiflava
33097,Goniumpectorale
33114,Capsicumbaccatum
33203,Purpureocilliumlilacinum
33528,Gambusiaaffinis
33876,Catenuloplanesjaponicus
33881,Curtobacteriumluteum
33888,Rathayibactertritici
33889,Brevibacteriumcasei
33894,variantafricanum
33895,Mycobacteriuminterjectum
33898,Streptomycesgalbus
33903,Streptomycesavermitilis
33905,Bifidobacteriumthermophilum
33922,Mycoplasmaagassizii
33935,Lysinibacillusmacroides
33936,Aeribacilluspallidus
33940,Geobacillusthermodenitrificans
33945,Enterococcusavium
33959,Lactobacillusjohnsonii
33960,Lactobacilluscollinoides
33968,Leuconostocpseudomesenteroides
33978,Caryophanontenue
33990,Rickettsiabellii
33995,Komagataeibactereuropaeus
34002,Paracoccusalcaliphilus
34004,Paracoccusaminovorans
34027,Aromatoleumtolulyticum
34059,Moraxellaatlantae
34060,Moraxellacaviae
34061,Moraxellacuniculi
34062,Moraxellaosloensis
34085,Riemerellaanatipestifer
34086,Pedobacterantarcticus
34097,Brevinemaandersonii
34103,Sphaerotilusnatans
34475,Fomitopsisrosea
34506,Strongyloidesratti
34508,Steinernemacarpocapsae
34690,Anophelesmelas
34691,Anophelesquadriannulatus
34720,Trachymyrmexseptentrionalis
34839,Chinchillalanigera
35128,Thalassiosirapseudonana
35525,Daphniamagna
35570,Stomoxyscalcitrans
35608,Artemisiaannua
35622,Thermostaphylosporachromogena
35623,Acholeplasmaoculi
35703,Citrobacteramalonaticus
35722,Parasitellaparasitica
35743,Halorubrumsodomense
35752,Actinoplanesphilippinensis
35754,Dactylosporangiumaurantiacum
35755,Corynebacteriumkutscheri
35756,Corynebacteriumpilosum
35760,Bifidobacteriumchoerinum
35762,Planobisporarosea
35806,Rhodovulumsulfidophilum
35814,Bordetellaholmesii
35818,Helicobacterpullorum
35841,Bacillusthermoamylovorans
36022,Cyberlindnerafabianii
36050,Fusariumpoae
36087,Trichuristrichiura
36166,Megaseliascalaris
36329,Plasmodiumfalciparum
36646,Penicilliumcoprophilum
36745,Clostridiumsaccharoperbutylacetonicum
36805,Microbacteriumaurum
36807,Microbacteriumlaevaniformans
36809,Mycobacteroidesabscessus
36818,Streptomycessubrutilus
36841,Terrisporobacterglycolicus
36842,Maledivibacterhalophilus
36844,Clostridiumhomopropionicum
36847,Anaerotignumneopropionicum
36849,Oxobacterpfennigii
36856,Sinorhizobiumsaheli
36870,endosymbiontof
36874,Porphyromonascangingivalis
36875,Porphyromonascanoris
37001,Glossinabrevipalpis
37003,Kryptolebiasmarmoratus
37032,Suricatasuricatta
37293,Aotusnancymaae
37328,Nocardiacarnea
37332,Nocardiaseriolae
37347,Tupaiabelangeri
37360,Plasmodiophorabrassicae
37372,Helicobacterbilis
37546,Glossinamorsitans
37548,Caviaaperea
37625,Desulfuromusakysingii
37653,Octopusbimaculoides
37658,[Clostridium]populeti
37659,Clostridiumalgidicarnis
37692,CandidatusPhytoplasma
37752,Flavobacteriumhibernum
37915,Dietziamaris
37916,Mycolicibacteriumchlorophenolicum
37923,Rothiakristinae
37927,Sinomonasatrocyanea
37928,Arthrobactercrystallopoietes
37992,Xylariahypoxylon
38026,Methanolobusvulcani
38286,Corynebacteriumafermentans
38300,Streptomycespristinaespiralis
38301,Corynebacteriumminutissimum
38302,Corynebacteriummycetoides
38312,Rhodococcusrhodnii
38313,Shewanellaalgae
38323,Bartonellahenselae
38488,Botryotiniacalthae
38626,Phascolarctoscinereus
38654,Alligatorsinensis
38772,Gopherusagassizii
39029,Megasphaeracerevisiae
39060,Desulfallasgeothermicus
39432,Saimiriboliviensis
39480,Andreeseniaangusta
39482,Faecalicatenacontorta
39488,Anaerobutyricumhallii
39490,Eubacteriumramulus
39492,[Eubacterium]siraeum
39495,Eubacteriumuniforme
39691,Mycolicibacteriummoriokaense
39692,Mycolicibacteriumparafortuitum
39693,Mycolicibacteriumporcinum
39777,Veillonellaatypica
39778,Veillonelladispar
39791,Corynebacteriumglucuronolyticum
39841,Thermodesulforhabdusnorvegica
39946,IndicaOryza
39947,JaponicaOryza
39950,Dialisterpneumosintes
39962,Legionellamoravica
39966,Hypsizygusmarmoreus
40148,Oryzaglumipatula
40149,Oryzameridionalis
40215,Acinetobacterjunii
40216,Acinetobacterradioresistens
40217,Juncohyemalis
40296,Penicilliumitalicum
40318,Streptomycesnodosus
40335,Legionellatucsonensis
40480,Mycoplasmacapricolum
40543,Sneathiasanguinegens
40571,Lentzeaalbidocapillata
40578,Xenorhabdusbeddingii
40754,Thioplocaingrica
40998,Elsinoeaustralis
41047,Aspergillusthermomutatus
41067,Aspergilluscandidus
41427,Anophelesatroparvus
41431,Rippkaeaorientalis
41447,Serioladumerili
41514,arizonaeSalmonella
41688,Lomentosporaprolificans
41875,Bathycoccusprasinos
41997,Enterococcussaccharolyticus
42094,Ureaplasmadiversum
42155,Brugiatimori
42156,Litomosoidessigmodontis
42157,Onchocercaochengi
42234,Streptomycesacidiscabies
42249,Tubermagnatum
42251,Tuberborchii
42253,Nitrospiramoscoviensis
42254,Sorexaraneus
42256,Rubrobacterradiotolerans
42322,Eubacteriumruminantium
42345,Phoenixdactylifera
42354,Nitrosomonasoligotropha
42514,Pygocentrusnattereri
42565,Halomonassalina
42673,Fusariumnygamai
42858,Staphylococcuslentus
43041,Anopheleschristyi
43064,Trichococcuspasteurii
43151,Anophelesdarlingi
43179,Ictidomystridecemlineatus
43263,Pseudomonasalcaligenes
43265,Cordycepsjavanica
43304,Mycolicibacteriumperegrinum
43335,Populusalba
43346,Bisonbison
43348,Mycobacteriumbranderi
43354,Prauserellarugosa
43657,Pseudoalteromonasluteoviolacea
43658,Pseudoalteromonasrubra
43662,Pseudoalteromonaspiscicida
43678,Oerskoviaenterophila
43700,Monopterusalbus
43759,Streptomyceswedmorensis
43767,Rhodococcushoagii
